time,projectId,userId,metric_id,chunk_index,quality,body_pose,led_pd_pos,offset_column,exp,led,gain,value
1667895302.89,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.898,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.906,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.914,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.921,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.929,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.937,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.945,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.953,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.96,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.968,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.976,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.984,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895302.992,SCAI_PILOT,user_sensei_178,0x7b,11,4,1,22,0,0,32,2,65535
1667895303.0,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,32,2,65535
1667895303.007,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,32,2,65535
1667895303.015,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,32,2,65535
1667895303.023,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,32,2,65535
1667895303.031,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,32,2,65535
1667895303.039,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,32,2,65535
1667895303.046,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,32,2,65535
1667895303.054,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,32,2,65535
1667895303.062,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.07,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.078,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.085,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.093,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.101,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.109,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.117,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.125,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.132,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.14,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.148,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.156,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.164,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.171,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
1667895303.179,SCAI_PILOT,user_sensei_178,0x7b,12,4,1,22,0,0,27,2,65535
